id,text,date_time,impression_count,like_count,quote_count,reply_count,retweet_count,name,username,Month
2402179123,"❓ ¿Para quién es un #bootcamp? ¿Tengo que saber de tecnología previamente? ¿Qué me puede aportar si ya tengo un perfil tecnológico? En este vídeo encontrarás respuestas.

➡ Un click para el cambio: https://t.co/vLc8dw80y6

@TheBridge_Tech @BBK_Kuna @BBK_eus https://t.co/BSSdNSY87l",2023-01-20 09:17:27,123,1,0,0,1,Jorge González Revilla,jorgegrev,2023-01
1288769305014939650,"💥 Llega la @globalgamejam , a #42UrdulizFTef, única sede en Bizkaia del evento de desarrollo de #videojuegos 🎮 más grande del mundo 🌍

🗓 3-5 FEB
📍 42 Urduliz

Con la colaboración de @DigiPenBilbao y @TheBridge_Tech @BBK_eus 

✍️ Inscríbete gratis en https://t.co/PV3kJn7Vvv https://t.co/IK9QGeuKeo",2023-01-20 17:31:22,489,9,0,0,4,42 Urduliz,42UrdulizFTef,2023-01
550417439,"Aprende hoy las profesiones del futuro 👨‍💻 Fórmate en #UxUiProductDesign, #DesarrolloWebFullStack, #DataScience y #Ciberseguridad con los bootcamps de @bbk_eus by @TheBridge_Tech y acelera tu carrera digital🚀
Más info 👉 https://t.co/fMszTZfHld",2023-01-23 09:34:56,409,3,0,0,1,BilboStack Conference,BilboStack,2023-01
4899284631,"Pero aquí no termina esto! Después de las charlas, podrás conocerlos y charlar con ellos, ya que compartiremos unas cañas 🍻 y haremos networking del bueno, además de que sólo por asistir tendrás la posibilidad de acceder a becas especiales de nuestro partner @TheBridge_Tech",2023-01-23 10:18:56,45,1,0,1,0,My Tech Plan,my_tech_plan,2023-01
2402179123,"📅Este jueves a las 18:30 en @BBK_Kuna #masterclass de desarrollo web #FullStack por @AlejandroRegex 

Descubre como introducirte al mundo de la #programación Web gracias a #BBKbootcamps 

@BBK_eus @TheBridge_Tech @BBKnetwork #Bilbao 

➡️Inscripción: https://t.co/k3ghb3Ys92 https://t.co/9JOy3bRRCp",2023-01-24 08:03:43,182,1,2,0,1,Jorge González Revilla,jorgegrev,2023-01
3364895487,@nodosenlared @snowded @TheBridge_Tech https://t.co/1KGul9dGbg,2023-01-24 14:12:35,12,0,0,0,0,No temo a desalmados: José Repiso Moyano,OswaldoRoses_,2023-01
41545659,"Advanced #Cynefin, Estuarine mapping &amp; EUFG Masterclass (Madrid) https://t.co/H5ZSjbLfpZ | Los interesados en la aplicación de las ciencias de la complejidad en nuestro país tendremos la oportunidad de aprender de @snowded en persona el 16/3/23 en la sede de @TheBridge_Tech",2023-01-24 20:44:09,163,3,0,0,0,Mario Lopez de Avila,nodosenlared,2023-01
106344840,"🎯¿Te gustaría acelerar tu #talento digital?
 
¡Descubre las ventajas y oportunidades que ofrecen los #Bootcamps de @ENCamaraSevilla y @TheBridge_Tech, que se celebran en #Sevilla!

🕞Hoy a las 18:00h➡️¡Todavía estás a tiempo de lanzar tu futuro!

Info:

https://t.co/6uJDY9Hs1E https://t.co/rsbnVAP9Y1",2023-01-26 12:58:57,197,3,0,0,0,Cámara de Comercio de Sevilla,camaradesevilla,2023-01
1524905248007114783,@nodosenlared @snowded @TheBridge_Tech Y eso es religión??,2023-01-26 15:23:40,9,0,0,0,0,Fisco Rodriguez,FiscoRodriguez,2023-01
1455515154133786625,"📌 Hoy 26 de enero, tenemos el placer de participar en el Bootcamp de @TheBridge_Tech 

Nuestro COO @javiercadierno hablará sobre empleabilidad en el marco actual

🎁 Como novedad, también presentaremos una nueva Guía de Empleo que estará disponible en febrero 

¡Nos vemos!✌🏻",2023-01-26 15:37:10,118,4,0,0,2,🚀 Tadatic,Tadatic_,2023-01
1598663768136884225,@nodosenlared @snowded @TheBridge_Tech https://t.co/xf694hxuZh,2023-01-26 19:45:31,4,0,0,0,0,delf ron,delf_ron,2023-01
550417439,"Se buscan personas para cambiar de vida 😎¿Listo para ser una de ellas? Dale un giro a tu carrera y entrénate en las profesiones más demandas con los bootcamps de @bbk_eus by @TheBridge_Tech 🚀 
 
¿Quieres saber más? ➡ https://t.co/eVj9kI4yZH",2023-01-27 11:15:00,328,1,0,0,0,BilboStack Conference,BilboStack,2023-01
1455515154133786625,"🤝🏻 Un placer aportar nuestro granito de arena en el #bootcamp de @TheBridge_Tech 

Gracias a todos los asistentes por la acogida, estamos ultimando detalles de nuestra Guía de Empleo para que la tengáis disponible a lo largo del mes de febrero 📌🎁

¡Nos vemos pronto!😁 https://t.co/CLTRmUN9Ob",2023-01-27 14:08:51,99,3,0,0,0,🚀 Tadatic,Tadatic_,2023-01
550417439,"¡Estudia ahora y paga cuando encuentres trabajo! Conviértete en experto digital con los #bootcamps de @bbk_eus by @TheBridge_Tech 👩‍💻 En formato full time o part time tardes, presencial o híbrido ¡tú decides! 
 
Más info ➡ https://t.co/eVj9kI4yZH",2023-01-27 16:00:08,511,2,0,0,0,BilboStack Conference,BilboStack,2023-01
1101664008,"@jorgegrev was one of the reasons I got into community. He has built countless communities/initiatives, brought tons of new folks into the ecosystem. He's currently rocking the @BBK_eus Bootcamp with @TheBridge_Tech helping unemployed people learn tech! https://t.co/m6QXoH6V69",2023-01-27 16:06:53,124,1,0,1,1,Bart Farrell,birthmarkbart,2023-01
550417439,"Recordamos tb a las patrocinadoras PLATINO. Comprometidas desde el minuto cero y sin las cuales, este evento no sería lo que va a ser: ENORME 🥰 
@plainconcepts @LifullConnEng  @bbk_eus by @TheBridge_Tech 

Y KUDOS a @bilbao_udala @BilbaoEkintza como patrocinador principal https://t.co/bsxWeRkKGD",2023-01-28 07:30:07,969,5,0,0,1,BilboStack Conference,BilboStack,2023-01
55539458,@nodosenlared @snowded @TheBridge_Tech Check my books related to this post. Please Share https://t.co/xvWVD2Eq1Z,2023-01-30 09:45:55,4,0,0,0,0,🔴Charlego,charlego,2023-01
1437857235036786693,@milmadrid_ @Ari_Reinventada @Gobuub @TheBridge_Tech @my_tech_plan @madridinnova @Puerta_Inno @LaNaveMadrid @MADRID Que interesante esto! Ya me apunté,2023-01-31 17:35:11,45,3,0,2,0,Yenito🫓👽😺,Yenito_,2023-01
